---------			
FIGNO:TC334423			
XPROP:Ce-content x			
XUNIT:			
YPROP:Tc			
YUNIT:K			
"PPROP:substrate= 1 NCAO, 2 LSAO, 3 STO, 4 KTO"			
PUNIT:			

---------			
xdata	ydata	pdata	number
0.048	14.36	1	1
0.06	28.21	1	2
0.073	29.74	1	3
0.084	28.46	1	4
0.095	27.95	1	5
0.109	21.54	1	6
0.12	19.74	1	7
0.131	12.95	1	8
0.145	4.87	1	9
0.156	7.18	1	10
0.048	23.59	2	1
0.06	29.62	2	2
0.073	29.87	2	3
0.084	28.21	2	4
0.095	27.44	2	5
0.12	18.21	2	6
0.12	12.69	2	7
0.145	4.49	2	8
0.156	10.26	2	9
0.167	5.64	2	10
0.182	0	2	11
0.048	21.15	3	1
0.06	29.36	3	2
0.074	29.62	3	3
0.108	21.03	3	4
0.12	19.74	3	5
0.131	13.97	3	6
0.145	5	3	7
0.024	0	4	1
0.038	0	4	2
0.049	16.41	4	3
0.062	28.97	4	4
0.076	29.49	4	5
0.089	28.85	4	6
0.102	27.56	4	7
0.117	22.31	4	8
0.13	20.13	4	9
0.143	14.36	4	10
0.173	11.03	4	11
