---------			
FIGNO:TC40991			
XPROP:Ce-content in La2-xCexCuO4			
XUNIT:x			
YPROP:Tc			
YUNIT:K			
"PPROP:1 Tc(on),  2  Tc(end)"			
PUNIT:			
---------			
xdata	ydata	pdata	number
0.064	13.85	1	1
0.079	27.08	1	2
0.094	28.82	1	3
0.102	28.45	1	4
0.109	29.19	1	5
0.117	27.83	1	6
0.123	24.98	1	7
0.151	20.78	1	8
0.151	10.76	1	9
0.179	10.02	1	10
0.22	4.2	1	11
0.064	4.2	2	1
0.079	20.04	2	2
0.094	24.73	2	3
0.102	26.22	2	4
0.109	27.83	2	5
0.116	27.21	2	6
0.123	21.52	2	7
0.151	19.66	2	8
0.151	9.15	2	9
0.179	4.45	2	10
