---------			
FIGNO:TC40994			
XPROP:Ce-content in (La1-xCex)2CuO4			
XUNIT:x			
YPROP:Tc			
YUNIT:K			
"PPROP:1  z = 0,  2  z = 4.02"			
PUNIT:			
---------			
xdata	ydata	pdata	number
0.05	30.64	1	1
0.055	30.15	1	2
0.06	30.25	1	3
0.065	30.15	1	4
0.07	30.15	1	5
0.075	30.15	1	6
0.08	30.15	1	7
0.085	30.15	1	8
0.05	20.89	1	9
0.055	18.82	1	10
0.06	18.92	1	11
0.065	17.34	1	12
0.07	10.34	1	13
0.075	9.95	1	14
0.08	9.56	1	15
0.085	6.5	1	16
0.06	27.78	2	1
0.062	30.15	2	2
0.067	30.15	2	3
0.072	28.18	2	4
0.075	28.18	2	5
0.077	27.19	2	6
0.08	28.28	2	7
0.083	24.53	2	8
0.085	22.56	2	9
0.088	22.56	2	10
0.06	15.17	2	11
0.063	16.16	2	12
0.065	16.65	2	13
0.067	14.98	2	14
0.07	12.91	2	15
0.072	11.33	2	16
0.075	11.33	2	17
0.078	8.77	2	18
0.08	7.19	2	19
0.083	6.7	2	20
0.085	6.9	2	21
0.087	6.8	2	22
