----------
FIGNO: THC13071
XPROP: T
XUNIT: K
YPROP: K
YUNIT: W/mK
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
11.722	2.249	1	1
12.59	2.577	1	2
15.195	2.915	1	3
16.932	3.213	1	4
18.669	3.472	1	5
20.405	3.71	1	6
22.142	3.899	1	7
25.615	4.068	1	8
27.352	4.217	1	9
29.957	4.327	1	10
31.693	4.406	1	11
33.43	4.476	1	12
34.298	4.545	1	13
37.771	4.605	1	14
42.113	4.635	1	15
45.586	4.645	1	16
49.928	4.605	1	17
53.401	4.545	1	18
57.742	4.456	1	19
62.084	4.376	1	20
65.557	4.267	1	21
69.899	4.188	1	22
73.372	4.108	1	23
77.713	4.008	1	24
82.055	3.959	1	25
84.66	3.919	1	26
87.265	3.869	1	27
91.606	3.82	1	28
96.816	3.78	1	29
101.158	3.74	1	30
103.763	3.69	1	31
110.709	3.631	1	32
110.709	3.671	1	33
115.051	3.66	1	34
120.26	3.571	1	35
123.734	3.631	1	36
131.548	3.531	1	37
131.548	3.591	1	38
135.022	3.591	1	39
140.232	3.561	1	40
144.573	3.571	1	41
141.1	3.511	1	42
151.52	3.472	1	43
155.861	3.541	1	44
163.676	3.501	1	45
161.071	3.422	1	46
170.622	3.392	1	47
175.832	3.452	1	48
183.647	3.422	1	49
181.042	3.362	1	50
189.725	3.352	1	51
194.935	3.392	1	52
201.013	3.293	1	53
203.618	3.362	1	54
210.564	3.273	1	55
214.906	3.332	1	56
220.116	3.253	1	57
223.589	3.293	1	58
230.535	3.213	1	59
234.009	3.253	1	60
240.955	3.183	1	61
242.692	3.233	1	62
250.507	3.153	1	63
255.716	3.193	1	64
261.795	3.143	1	65
269.609	3.124	1	66
276.556	3.124	1	67
285.239	3.094	1	68
290.449	3.074	1	69
294.79	3.064	1	70
300	3.054	1	71
