----------
FIGNO: THC2079
XPROP: T
XUNIT: K
YPROP: THERMAL-C
YUNIT: W/M.K
PPROP: 1
PUNIT: IN-PLANE

----------
xdata	ydata	pdata	number
10.02	1.626	3	1
11.842	.744	4	1
13.664	1.769	3	2
14.879	.92	4	2
14.879	1.819	3	3
19.737	1.113	4	3
19.13	1.769	3	4
25.202	1.391	4	4
24.595	2.155	3	5
30.061	1.567	4	5
30.668	2.164	3	6
36.741	1.769	4	6
36.134	2.147	3	7
41.599	1.954	4	7
42.814	2.256	3	8
47.672	2.08	4	8
53.745	2.164	4	9
53.745	2.248	3	9
57.389	2.24	4	10
65.283	2.088	3	10
62.854	2.281	4	11
71.964	1.996	3	11
69.534	2.256	4	12
75.607	1.979	3	12
73.785	2.248	4	13
73.785	2.248	4	13
81.073	1.945	3	13
81.073	1.945	3	13
78.644	2.315	4	14
82.895	1.895	3	14
82.895	1.895	3	14
78.644	2.315	4	14
82.287	2.265	4	15
86.538	1.895	3	15
86.538	1.895	3	15
82.287	2.265	4	15
87.146	2.273	4	16
87.146	2.273	4	16
91.397	1.929	3	16
91.397	1.929	3	16
91.397	2.307	4	17
91.397	2.307	4	17
96.862	1.845	3	17
96.862	1.845	3	17
96.862	2.281	4	18
96.862	2.281	4	18
101.113	1.828	3	18
101.113	1.828	3	18
101.113	2.24	4	19
101.113	2.24	4	19
110.223	1.786	3	19
110.223	1.786	3	19
106.579	2.248	4	20
118.725	1.735	3	20
106.579	2.248	4	20
118.725	1.735	3	20
111.437	2.273	4	21
111.437	2.273	4	21
127.834	1.66	3	21
127.834	1.66	3	21
121.761	2.223	4	22
138.158	1.643	3	22
138.158	1.643	3	22
121.761	2.223	4	22
134.514	2.214	4	23
149.089	1.618	3	23
149.696	2.139	4	24
158.806	1.592	3	24
162.449	2.114	4	25
168.522	1.542	3	25
177.632	2.063	4	26
178.846	1.492	3	26
189.17	1.483	3	27
194.636	1.996	4	27
203.138	1.517	3	28
212.854	1.962	4	28
215.283	1.475	3	29
231.68	1.92	4	29
227.429	1.424	3	30
251.721	1.836	4	30
241.397	1.416	3	31
274.798	1.794	4	31
255.364	1.399	3	32
296.053	1.786	4	32
269.939	1.366	3	33
284.514	1.323	3	34
300.304	1.332	3	35
