----------
FIGNO: THC2093
XPROP: T
XUNIT: K
YPROP: THERMAL-C
YUNIT: W/M.K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
5.098	.746	1	1
9.127	1.124	1	1
5.386	.815	1	2
10.714	1.392	1	2
5.752	.902	1	3
12.302	1.588	1	3
5.935	.971	1	4
13.889	1.905	1	4
6.431	1.119	1	5
15.476	2.174	1	5
6.745	1.188	1	6
17.857	2.467	1	6
7.242	1.309	1	7
20.238	2.858	1	7
8.078	1.552	1	8
22.619	3.2	1	8
8.915	1.717	1	9
25.794	3.542	1	9
28.968	3.811	1	10
32.937	4.104	1	11
37.698	4.324	1	12
42.46	4.47	1	13
42.46	4.47	1	13
46.429	4.568	1	14
46.429	4.568	1	14
51.984	4.568	1	15
51.984	4.568	1	15
57.54	4.519	1	16
57.54	4.519	1	16
60.714	4.446	1	17
60.714	4.446	1	17
64.683	4.348	1	18
64.683	4.348	1	18
69.444	4.275	1	19
69.444	4.275	1	19
71.825	4.202	1	20
71.825	4.202	1	20
75.794	4.128	1	21
75.794	4.128	1	21
79.762	4.03	1	22
79.762	4.03	1	22
84.524	3.957	1	23
90.079	3.933	1	24
96.429	3.908	1	25
101.984	3.908	1	26
108.333	3.908	1	27
115.476	3.908	1	28
123.413	3.957	1	29
132.937	3.957	1	30
146.429	4.006	1	31
156.746	4.055	1	32
167.063	4.079	1	33
178.175	4.128	1	34
188.492	4.177	1	35
198.81	4.275	1	36
209.921	4.324	1	37
221.032	4.397	1	38
230.556	4.495	1	39
244.048	4.592	1	40
259.127	4.739	1	41
269.444	4.861	1	42
281.349	4.959	1	43
291.667	5.032	1	44
299.603	5.13	1	45
