----------
FIGNO: THC2144
XPROP: T
XUNIT: K
YPROP: THERMAL-C
YUNIT: MW/CM.K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
2.244	.671	1	1
2.446	.712	1	2
2.615	.801	1	3
2.796	.863	1	4
3.018	.943	1	5
3.196	1.061	1	6
3.517	1.212	1	7
3.983	1.468	1	8
4.467	1.627	1	9
4.916	1.886	1	10
5.307	2.03	1	11
5.952	2.424	1	12
6.425	2.809	1	13
6.425	2.809	1	13
6.936	2.98	1	14
6.936	2.98	1	14
8.006	3.718	1	15
8.006	3.718	1	15
8.894	4.309	1	16
8.894	4.309	1	16
9.881	5.069	1	17
9.881	5.069	1	17
10.769	5.789	1	18
10.769	5.789	1	18
11.738	6.611	1	19
11.738	6.611	1	19
12.671	7.662	1	20
12.671	7.662	1	20
15.051	9.146	1	21
15.051	9.146	1	21
16.721	10.292	1	22
16.721	10.292	1	22
18.576	11.081	1	23
21.648	12.106	1	24
23.369	12.286	1	25
25.714	12.842	1	26
27.233	13.424	1	27
29.399	13.623	1	28
31.135	13.826	1	29
32.974	13.826	1	30
34.922	14.24	1	31
36.632	14.451	1	32
39.545	15.105	1	33
43.932	15.789	1	34
47.881	16.024	1	35
53.705	16.504	1	36
58.532	16.749	1	37
68.211	18.032	1	38
77.984	20.291	1	39
89.157	20.899	1	40
