----------
FIGNO: THC3222
XPROP: T
XUNIT: K
YPROP: THERMAL-C
YUNIT: W/MK
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
15.61	9.515	1	1
16.585	10.006	1	2
18.537	10.375	1	3
21.463	10.866	1	4
22.439	11.456	1	5
24.39	11.776	1	6
25.366	12.021	1	7
28.293	12.194	1	8
30.244	12.661	1	9
33.171	13.078	1	10
37.073	13.226	1	11
40.976	13.422	1	12
45.854	13.349	1	13
45.854	13.349	1	13
49.756	13.275	1	14
49.756	13.275	1	14
52.683	13.177	1	15
52.683	13.177	1	15
55.61	13.005	1	16
55.61	13.005	1	16
57.561	12.759	1	17
57.561	12.759	1	17
61.463	12.439	1	18
61.463	12.439	1	18
64.39	12.194	1	19
64.39	12.194	1	19
67.317	11.776	1	20
67.317	11.776	1	20
70.244	11.333	1	21
70.244	11.333	1	21
74.146	11.038	1	22
74.146	11.038	1	22
77.073	10.694	1	23
80.976	10.35	1	24
81.951	10.104	1	25
82.927	9.908	1	26
84.878	9.711	1	27
86.829	9.564	1	28
88.781	9.392	1	29
89.756	9.244	1	30
90.732	9.121	1	31
92.683	8.998	1	32
94.634	8.925	1	33
97.561	8.876	1	34
102.439	8.851	1	35
108.293	8.802	1	36
115.122	8.802	1	37
121.951	8.728	1	38
129.756	8.704	1	39
135.61	8.63	1	40
142.439	8.605	1	41
147.317	8.556	1	42
155.122	8.507	1	43
161.951	8.507	1	44
168.78	8.458	1	45
174.634	8.384	1	46
184.39	8.384	1	47
195.122	8.286	1	48
200.976	8.286	1	49
205.854	8.212	1	50
211.707	8.187	1	51
219.512	8.237	1	52
227.317	8.187	1	53
237.073	8.187	1	54
243.902	8.187	1	55
252.683	8.138	1	56
262.439	8.138	1	57
273.171	8.089	1	58
282.927	8.065	1	59
