----------
FIGNO: THC3288
XPROP: T
XUNIT: K
YPROP: THERMAL-C
YUNIT: KW/M.K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
14.567	.218	1	1
24.016	.511	1	2
42.126	.947	1	3
48.819	1.172	1	4
50.787	1.199	1	5
57.874	1.39	1	6
63.386	1.506	1	7
64.567	1.649	1	8
70.472	1.764	1	9
74.409	1.792	1	10
77.165	1.887	1	11
78.74	1.921	1	12
83.071	1.989	1	13
83.071	1.989	1	13
81.102	2.037	1	14
81.102	2.037	1	14
85.433	2.146	1	15
85.433	2.146	1	15
88.189	2.18	1	16
88.189	2.18	1	16
90.945	2.193	1	17
90.945	2.193	1	17
94.882	2.18	1	18
94.882	2.18	1	18
98.425	2.2	1	19
98.425	2.2	1	19
101.575	2.112	1	20
101.575	2.112	1	20
104.331	2.105	1	21
104.331	2.105	1	21
107.48	2.091	1	22
107.48	2.091	1	22
112.598	2.023	1	23
115.748	2.037	1	24
116.929	1.948	1	25
122.441	1.846	1	26
128.74	1.771	1	27
142.913	1.751	1	28
158.661	1.792	1	29
172.835	1.819	1	30
186.614	1.853	1	31
190.157	1.894	1	32
