----------
FIGNO: THC5283
XPROP: T
XUNIT: K
YPROP: TC
YUNIT: mW/cmK
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
1.707	.117	1	1
1.727	.127	1	2
1.919	.176	1	3
2.159	.235	1	4
2.316	.298	1	5
2.515	.371	1	6
2.699	.483	1	7
2.896	.575	1	8
3.107	.67	1	9
3.373	.815	1	10
3.577	.993	1	11
3.839	1.157	1	12
4.071	1.378	1	13
4.317	1.537	1	14
4.525	1.678	1	15
4.743	1.913	1	16
5.03	2.087	1	17
5.525	2.541	1	18
5.999	3.094	1	19
6.59	3.606	1	20
6.989	4.111	1	21
7.411	4.486	1	22
8.047	5.005	1	23
8.634	5.832	1	24
8.944	6.365	1	25
9.485	6.649	1	26
9.941	7.1	1	27
10.921	7.417	1	28
11.857	8.457	1	29
12.873	9.855	1	30
13.814	9.855	1	31
14.822	10.523	1	32
16.093	11.998	1	33
16.867	13.095	1	34
18.313	13.384	1	35
18.97	14.291	1	36
19.882	13.982	1	37
21.587	14.93	1	38
23.994	15.597	1	39
26.05	15.597	1	40
27.953	17.783	1	41
