---------			
FIGNO:THC7576			
XPROP:T			
XUNIT:K			
YPROP:k(ab)			
YUNIT:W/m.K			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
3.9	2.65	1	1
4.9	2.94	1	2
4.9	3.24	1	3
6.9	3.53	1	4
7.8	3.92	1	5
8.8	4.22	1	6
9.8	4.41	1	7
9.8	4.8	1	8
10.8	5	1	9
12.7	5.39	1	10
13.7	5.59	1	11
15.7	5.78	1	12
18.6	6.18	1	13
19.6	6.47	1	14
20.6	6.57	1	15
22.5	6.67	1	16
24.5	6.76	1	17
27.5	7.06	1	18
29.4	7.16	1	19
32.4	7.25	1	20
34.3	7.65	1	21
36.3	7.75	1	22
42.2	7.84	1	23
43.1	7.84	1	24
45.1	7.84	1	25
48	7.84	1	26
50	7.94	1	27
52.9	7.94	1	28
54.9	7.84	1	29
57.8	7.84	1	30
59.8	7.84	1	31
63.7	7.84	1	32
68.6	7.94	1	33
72.5	8.04	1	34
73.5	8.04	1	35
76.5	8.04	1	36
78.4	8.04	1	37
82.4	7.84	1	38
85.3	7.84	1	39
89.2	7.84	1	40
91.2	7.84	1	41
94.1	7.65	1	42
97.1	7.75	1	43
100	7.75	1	44
103.9	7.65	1	45
105.9	7.65	1	46
107.8	7.65	1	47
111.8	7.65	1	48
113.7	7.65	1	49
116.7	7.55	1	50
119.6	7.55	1	51
120.6	7.55	1	52
123.5	7.45	1	53
125.5	7.55	1	54
126.5	7.45	1	55
131.4	7.45	1	56
134.3	7.45	1	57
135.3	7.45	1	58
139.2	7.45	1	59
144.1	7.45	1	60
148	7.35	1	61
152	7.25	1	62
152.9	7.25	1	63
156.9	7.25	1	64
158.8	7.25	1	65
161.8	7.25	1	66
164.7	7.16	1	67
167.6	7.16	1	68
171.6	7.16	1	69
175.5	7.16	1	70
178.4	7.16	1	71
181.4	7.16	1	72
183.3	7.06	1	73
190.2	7.06	1	74
192.2	7.06	1	75
199	7.16	1	76
202.9	7.16	1	77
208.8	7.16	1	78
212.7	7.06	1	79
215.7	7.16	1	80
221.6	7.16	1	81
224.5	7.16	1	82
227.5	7.16	1	83
231.4	7.16	1	84
236.3	7.06	1	85
241.2	7.16	1	86
246.1	7.16	1	87
249	7.25	1	88
253.9	7.16	1	89
257.8	7.25	1	90
262.7	7.16	1	91
267.6	7.16	1	92
270.6	7.06	1	93
274.5	7.06	1	94
280.4	7.06	1	95
283.3	7.06	1	96
287.3	7.06	1	97
290.2	6.96	1	98
