---------			
FIGNO:THC8421			
XPROP:T			
XUNIT:K			
YPROP:k			
YUNIT:W/m.K			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
33.3	2.795	1	1
39.2	3.084	1	2
39.9	3.313	1	3
45.2	3.554	1	4
51.9	3.181	1	5
51.9	2.88	1	6
55.2	3.036	1	7
61.2	2.843	1	8
69.2	2.819	1	9
71.2	2.687	1	10
72.5	2.542	1	11
75.2	2.446	1	12
82.5	2.229	1	13
87.1	2.169	1	14
91.1	2.169	1	15
94.5	2.193	1	16
99.8	2.205	1	17
102.4	2.181	1	18
105.8	2.217	1	19
109.1	2.265	1	20
113.7	2.289	1	21
118.4	2.313	1	22
128.4	2.446	1	23
134.4	2.482	1	24
137.7	2.482	1	25
149	2.59	1	26
152.3	2.542	1	27
159	2.566	1	28
164.3	2.494	1	29
168.3	2.53	1	30
178.9	2.518	1	31
184.3	2.566	1	32
188.2	2.578	1	33
193.6	2.602	1	34
198.2	2.723	1	35
202.2	2.675	1	36
204.9	2.651	1	37
210.9	2.663	1	38
214.2	2.627	1	39
219.5	2.651	1	40
224.2	2.627	1	41
233.5	2.687	1	42
244.1	2.663	1	43
250.8	2.627	1	44
255.4	2.542	1	45
259.4	2.542	1	46
264.1	2.494	1	47
269.4	2.434	1	48
274.1	2.398	1	49
279.4	2.446	1	50
280.7	2.47	1	51
286.7	2.446	1	52
290.7	2.422	1	53
