---------			
FIGNO:THC9630			
XPROP:T			
XUNIT:K			
YPROP:k			
YUNIT:mW/K.cm			
"PPROP:p=1(k<a>), p=2(k<b>), p=3(k<c>)"			
PUNIT:			

---------			
xdata	ydata	pdata	number
4.6	17.53	3	1
6.4	26.62	3	2
9.1	31.82	3	3
11.9	42.21	3	4
20.1	64.29	3	5
23.7	67.53	3	6
29.2	69.48	3	7
32.8	67.53	3	8
36.5	66.23	3	9
40.1	63.64	3	10
44.7	61.69	3	11
47.4	60.39	3	12
52	58.44	3	13
60.2	57.79	3	14
67.5	57.14	3	15
72	55.84	3	16
77.5	56.49	3	17
83.9	57.14	3	18
91.2	57.79	3	19
98.5	59.74	3	20
104.9	60.39	3	21
113.1	61.69	3	22
120.4	62.34	3	23
126.7	63.64	3	24
134	64.29	3	25
141.3	66.23	3	26
148.6	67.53	3	27
155	68.83	3	28
160.5	68.83	3	29
166.9	70.13	3	30
173.3	70.78	3	31
181.5	72.08	3	32
187.8	74.03	3	33
194.2	74.68	3	34
198.8	75.32	3	35
205.2	75.97	3	36
211.6	77.27	3	37
217.9	77.27	3	38
225.2	78.57	3	39
230.7	79.87	3	40
238	80.52	3	41
243.5	80.52	3	42
248	80.52	3	43
253.5	81.17	3	44
260.8	82.47	3	45
266.3	83.77	3	46
272.6	83.77	3	47
278.1	85.06	3	48
283.6	85.71	3	49
290.9	85.71	3	50
296.4	87.66	3	51
