---------			
FIGNO:THE7165			
XPROP:T			
XUNIT:K			
YPROP:alpha			
YUNIT:E+6			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
80.2	4.64	1	1
84.8	5.2	1	2
89.8	5.41	1	3
93.9	5.61	1	4
99	5.82	1	5
105.6	6.17	1	6
111.7	6.43	1	7
119.4	6.73	1	8
127	7.04	1	9
133.6	7.3	1	10
139.7	7.55	1	11
147.9	7.91	1	12
154.5	8.16	1	13
160.6	8.37	1	14
167.7	8.52	1	15
174.8	8.88	1	16
180.9	9.18	1	17
189.6	9.44	1	18
197.7	9.59	1	19
204.3	9.85	1	20
213	10.15	1	21
220.6	10.31	1	22
229.3	10.51	1	23
236.9	10.66	1	24
245	10.82	1	25
251.2	11.02	1	26
259.8	11.12	1	27
267.4	11.28	1	28
272.5	11.43	1	29
277.1	11.48	1	30
284.7	11.48	1	31
289.8	11.63	1	32
294.9	11.68	1	33
77.4	4.57	1	34
78.2	4.62	1	35
79	4.68	1	36
79.5	4.71	1	37
80.1	4.75	1	38
81	4.81	1	39
81.8	4.87	1	40
82.4	4.9	1	41
82.7	4.92	1	42
83.5	4.96	1	43
83.8	4.99	1	44
84.1	5.01	1	45
84.6	5.05	1	46
85	5.07	1	47
85.8	5.12	1	48
86.1	5.15	1	49
87	5.2	1	50
87.8	5.25	1	51
88.4	5.3	1	52
89	5.33	1	53
89.4	5.36	1	54
89.9	5.39	1	55
92.7	5.48	1	56
93.2	5.52	1	57
93.7	5.56	1	58
94.2	5.58	1	59
95.1	5.63	1	60
96.2	5.71	1	61
96.8	5.75	1	62
97.7	5.81	1	63
98.5	5.85	1	64
