----------
FIGNO: TP10306
XPROP: T
XUNIT: K
YPROP: S
YUNIT: Et2 uV/K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
39.159	.167	1	1
48.451	.352	1	2
59.071	.463	1	3
69.69	.648	1	4
78.982	.858	1	5
89.602	.957	1	6
98.894	1.13	1	7
108.186	1.154	1	8
118.805	1.265	1	9
128.097	1.228	1	10
140.044	1.302	1	11
149.336	1.352	1	12
158.628	1.327	1	13
167.92	1.377	1	14
178.54	1.438	1	15
189.159	1.377	1	16
199.779	1.414	1	17
210.398	1.414	1	18
219.69	1.451	1	19
228.982	1.562	1	20
239.602	1.562	1	21
250.221	1.586	1	22
259.513	1.759	1	23
268.805	1.735	1	24
280.752	1.907	1	25
290.044	1.846	1	26
