----------
FIGNO: TP10921
XPROP: T
XUNIT: K
YPROP: S
YUNIT: uV/K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
59.654	-.033	1	1
70.306	.033	1	2
79.627	1.916	1	3
91.611	7.37	1	4
102.264	8.993	1	5
112.25	9.318	1	6
120.905	9.513	1	7
130.226	9.188	1	8
142.876	9.253	1	9
151.531	8.864	1	10
160.852	8.214	1	11
170.839	8.279	1	12
182.157	7.89	1	13
190.146	7.435	1	14
202.13	7.305	1	15
210.12	7.11	1	16
221.438	6.851	1	17
230.093	6.526	1	18
240.746	6.331	1	19
250.067	6.006	1	20
259.387	5.747	1	21
270.706	5.552	1	22
279.361	5.357	1	23
290.679	5.227	1	24
300	4.968	1	25
309.987	4.708	1	26
