----------
FIGNO: TP12119
XPROP: T
XUNIT: K
YPROP: S(c)&S(ad)
YUNIT: uV/K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
297.896	3.696	1	1
299.579	1.633	2	1
293.689	3.986	1	2
296.208	1.657	2	2
289.481	4.13	1	3
291.994	1.657	2	3
287.781	1.728	2	4
287.798	4.275	1	4
284.41	1.728	2	5
286.115	5.145	1	5
280.197	1.728	2	6
282.749	4.42	1	6
275.983	1.752	2	7
279.383	4.565	1	7
271.77	1.752	2	8
276.017	5.145	1	8
269.242	1.704	2	9
270.968	5	1	9
265.028	1.752	2	10
268.443	5.725	1	10
261.657	1.752	2	11
264.236	6.159	1	11
257.444	1.775	2	12
259.187	6.014	1	12
254.979	6.304	1	13
255.758	1.728	2	13
252.454	6.739	1	14
253.23	1.704	2	14
247.405	6.739	1	15
250.702	1.657	2	15
243.198	6.884	1	16
249.017	1.704	2	16
238.99	7.029	1	17
244.803	1.704	2	17
237.307	7.319	1	18
241.433	1.728	2	18
233.1	7.609	1	19
238.062	1.799	2	19
229.734	7.754	1	20
233.006	1.823	2	20
226.367	7.899	1	21
230.478	1.704	2	21
223.001	8.043	1	22
227.107	1.657	2	22
219.635	8.333	1	23
224.579	1.728	2	23
217.952	8.333	1	24
221.208	1.752	2	24
213.745	8.478	1	25
217.837	1.728	2	25
208.696	8.768	1	26
216.152	1.657	2	26
202.805	8.913	1	27
212.781	1.633	2	27
198.597	9.203	1	28
210.253	1.657	2	28
195.231	9.348	1	29
206.882	1.704	2	29
192.707	9.638	1	30
204.354	1.752	2	30
189.341	10.072	1	31
200.983	1.752	2	31
186.816	10.507	1	32
196.77	1.633	2	32
183.45	10.362	1	33
193.399	1.704	2	33
179.243	10.507	1	34
189.185	1.657	2	34
174.194	10.652	1	35
186.657	1.562	2	35
168.303	10.942	1	36
181.601	1.538	2	36
163.254	10.942	1	37
179.916	1.657	2	37
159.888	11.232	1	38
176.545	1.609	2	38
157.363	10.942	1	39
174.017	1.704	2	39
153.997	11.232	1	40
169.803	1.704	2	40
150.631	11.522	1	41
168.118	1.657	2	41
148.107	11.812	1	42
164.747	1.657	2	42
142.216	11.812	1	43
161.376	1.609	2	43
139.691	11.957	1	44
159.691	1.562	2	44
135.484	12.246	1	45
158.848	1.657	2	45
132.118	12.246	1	46
154.635	1.704	2	46
127.91	12.391	1	47
151.264	1.657	2	47
123.703	12.391	1	48
148.736	1.586	2	48
120.337	12.246	1	49
146.208	1.586	2	49
116.971	12.391	1	50
142.837	1.633	2	50
114.446	12.246	1	51
139.466	1.657	2	51
112.763	12.101	1	52
136.096	1.657	2	52
108.555	12.101	1	53
131.882	1.609	2	53
106.031	11.667	1	54
128.511	1.562	2	54
102.665	11.377	1	55
125.14	1.515	2	55
100.982	10.942	1	56
122.612	1.468	2	56
99.299	10.507	1	57
118.399	1.515	2	57
97.616	10.072	1	58
115.871	1.444	2	58
95.933	9.638	1	59
112.5	1.444	2	59
95.091	9.203	1	60
109.129	1.42	2	60
93.408	8.623	1	61
106.601	1.373	2	61
93.408	8.188	1	62
104.073	1.325	2	62
92.567	7.754	1	63
100.702	1.278	2	63
91.725	7.319	1	64
99.017	1.207	2	64
91.725	6.884	1	65
97.332	1.16	2	65
90.884	6.594	1	66
95.646	1.112	2	66
90.042	6.159	1	67
93.961	1.089	2	67
90.884	5.725	1	68
93.118	.994	2	68
90.884	5.145	1	69
92.275	.876	2	69
89.201	4.71	1	70
92.275	.734	2	70
89.201	4.275	1	71
89.747	.544	2	71
88.904	.142	2	72
89.201	3.696	1	72
88.359	3.116	1	73
89.201	3.116	1	74
88.359	2.391	1	75
87.517	1.956	1	76
87.517	1.377	1	77
86.676	.797	1	78
86.676	.362	1	79
85.835	-.072	1	80
85.835	-.507	1	81
85.835	-.942	1	82
84.993	-1.377	1	83
84.151	-2.102	1	84
