----------
FIGNO: TP12204
XPROP: T
XUNIT: K
YPROP: S
YUNIT: microV/K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
62.74	.478	1	1
67.862	1.092	1	2
72.983	1.502	1	3
78.105	2.116	1	4
88.348	1.502	1	5
98.591	1.297	1	6
103.713	1.502	1	7
113.956	1.502	1	8
121.639	1.092	1	9
126.761	.683	1	10
134.443	.478	1	11
139.565	.478	1	12
147.247	.273	1	13
154.93	.273	1	14
162.612	.273	1	15
170.294	.068	1	16
177.977	.068	1	17
183.099	-.137	1	18
193.342	-.137	1	19
198.463	-.341	1	20
203.585	-.341	1	21
213.828	-.546	1	22
221.511	-.956	1	23
231.754	-.956	1	24
241.997	-1.365	1	25
249.68	-1.365	1	26
249.68	-1.365	1	27
257.362	-1.57	1	28
265.045	-1.775	1	29
275.288	-2.184	1	30
285.531	-2.184	1	31
295.775	-2.389	1	32
313.7	-2.799	1	33
331.626	-3.208	1	34
352.113	-3.413	1	35
372.599	-4.027	1	36
393.086	-4.232	1	37
413.572	-4.846	1	38
434.059	-5.461	1	39
451.985	-5.87	1	40
472.471	-6.485	1	41
490.397	-7.099	1	42
510.883	-7.304	1	43
531.37	-7.918	1	44
551.857	-8.328	1	45
572.343	-8.942	1	46
590.269	-9.147	1	47
613.316	-9.761	1	48
628.681	-9.966	1	49
651.729	-9.966	1	50
672.215	-9.966	1	51
692.702	-9.966	1	52
710.627	-9.966	1	53
731.114	-10.171	1	54
751.6	-10.171	1	55
766.965	-10.171	1	56
790.013	-10.375	1	57
810.499	-10.171	1	58
830.986	-10.375	1	59
848.912	-10.171	1	60
869.398	-10.171	1	61
887.324	-10.171	1	62
910.371	-10.171	1	63
930.858	-10.375	1	64
951.344	-10.171	1	65
971.831	-10.375	1	66
