----------
FIGNO: TP130
XPROP: T
XUNIT: K
YPROP: THERMOPOWER
YUNIT: UV/K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
90.07	.194	1	1
90.493	.71	1	2
91.338	1.419	1	3
91.338	1.699	1	4
92.183	2.086	1	5
91.761	2.43	1	6
92.606	2.86	1	7
93.028	3.462	1	8
95.563	3.548	1	9
98.099	3.527	1	10
100.211	3.527	1	11
102.746	3.57	1	12
105.282	3.613	1	13
105.282	3.613	1	13
107.394	3.656	1	14
107.394	3.656	1	14
109.93	3.677	1	15
109.93	3.677	1	15
113.31	3.591	1	16
113.31	3.591	1	16
115	3.634	1	17
115	3.634	1	17
116.69	3.57	1	18
116.69	3.57	1	18
118.38	3.57	1	19
118.38	3.57	1	19
122.183	3.462	1	20
122.183	3.462	1	20
125.986	3.505	1	21
125.986	3.505	1	21
128.944	3.527	1	22
128.944	3.527	1	22
132.746	3.505	1	23
136.127	3.462	1	24
139.507	3.376	1	25
142.887	3.29	1	26
146.69	3.312	1	27
150.07	3.312	1	28
153.873	3.333	1	29
160.211	3.484	1	30
164.859	3.462	1	31
171.62	3.247	1	32
176.268	3.312	1	33
180.915	3.419	1	34
186.831	3.398	1	35
192.324	3.505	1	36
199.507	3.462	1	37
205.423	3.57	1	38
210.493	3.505	1	39
216.831	3.57	1	40
222.746	3.484	1	41
230.352	3.333	1	42
236.268	3.355	1	43
241.761	3.29	1	44
247.676	3.226	1	45
253.169	3.247	1	46
259.507	3.355	1	47
266.268	3.269	1	48
273.028	3.247	1	49
278.944	3.247	1	50
