----------
FIGNO: TP1354
XPROP: TEMPERATURE
XUNIT: K
YPROP: THERMOPOWER
YUNIT: MICRO-V/K
PPROP: ZN-CONTENT
PUNIT: 

----------
xdata	ydata	pdata	number
5	.893	.3	1
7.5	1.402	.3	2
6.5	1.738	.3	3
13.5	1.913	.3	4
19	2.436	.3	5
22.5	2.758	.3	6
24.5	3.013	.3	7
28	3.161	.3	8
33	3.013	.3	9
36.5	3.174	.3	10
44.5	3.362	.3	11
56	3.483	.3	12
63.5	3.322	.3	13
63.5	3.322	.3	13
73	3.241	.3	14
73	3.241	.3	14
82.6	3.174	.3	15
82.6	3.174	.3	15
89.5	3.281	.3	16
89.5	3.281	.3	16
101.6	3.215	.3	17
101.6	3.215	.3	17
115.1	3.389	.3	18
115.1	3.389	.3	18
131.6	3.416	.3	19
131.6	3.416	.3	19
146.6	3.564	.3	20
146.6	3.564	.3	20
153.6	3.792	.3	21
153.6	3.792	.3	21
169.2	3.953	.3	22
169.2	3.953	.3	22
174.2	3.859	.3	23
201.7	4.611	.3	24
207.7	4.463	.3	25
214.2	4.315	.3	26
230.7	4.449	.3	27
242.7	4.315	.3	28
246.2	4.57	.3	29
