****			
FIGNO:TP151052			
XPROP:T			
XUNIT:K			
YPROP:TP			
YUNIT:uV/K			
PPROP:Th-content			
PUNIT:x in Tb1-xThxFeAsO			
****			
XDATA	YDATA	PDATA	NUMBER
20.1 	-5.73 	0	1
23.5 	-6.27 	0	2
27.9 	-6.82 	0	3
31.0 	-6.27 	0	4
34.4 	-6.00 	0	5
37.1 	-5.73 	0	6
41.0 	-5.45 	0	7
43.6 	-4.91 	0	8
45.8 	-4.64 	0	9
49.3 	-3.55 	0	10
54.5 	-2.73 	0	11
58.0 	-1.36 	0	12
62.4 	-0.27 	0	13
65.8 	0.82 	0	14
70.6 	2.73 	0	15
74.6 	3.82 	0	16
78.1 	4.91 	0	17
82.0 	5.18 	0	18
85.9 	5.45 	0	19
89.4 	5.18 	0	20
93.8 	4.91 	0	21
97.7 	3.82 	0	22
102.0 	1.91 	0	23
106.0 	-0.27 	0	24
109.4 	-2.45 	0	25
114.2 	-6.55 	0	26
117.3 	-11.18 	0	27
122.1 	-15.55 	0	28
126.0 	-17.18 	0	29
129.9 	-18.82 	0	30
133.9 	-19.91 	0	31
137.8 	-20.73 	0	32
142.2 	-21.00 	0	33
146.1 	-21.27 	0	34
150.0 	-21.55 	0	35
154.4 	-21.27 	0	36
157.8 	-21.55 	0	37
161.8 	-21.55 	0	38
165.7 	-21.55 	0	39
170.1 	-21.55 	0	40
174.0 	-21.55 	0	41
177.9 	-21.27 	0	42
181.8 	-21.00 	0	43
185.8 	-21.00 	0	44
189.7 	-21.00 	0	45
193.6 	-20.73 	0	46
197.5 	-20.45 	0	47
201.9 	-20.18 	0	48
206.3 	-19.36 	0	49
210.6 	-19.64 	0	50
214.1 	-19.36 	0	51
218.0 	-19.09 	0	52
221.9 	-18.82 	0	53
226.3 	-18.55 	0	54
229.8 	-18.27 	0	55
233.7 	-17.73 	0	56
238.5 	-17.73 	0	57
241.6 	-17.45 	0	58
245.9 	-17.18 	0	59
249.9 	-16.64 	0	60
253.8 	-16.36 	0	61
257.3 	-16.36 	0	62
262.1 	-15.82 	0	63
266.0 	-15.27 	0	64
269.9 	-15.27 	0	65
273.4 	-15.00 	0	66
278.2 	-14.18 	0	67
281.7 	-13.64 	0	68
286.0 	-13.36 	0	69
290.0 	-13.36 	0	70
293.9 	-12.82 	0	71
297.8 	-12.55 	0	72
20.1 	0.55 	0.1	1
25.3 	0.55 	0.1	2
30.5 	-2.73 	0.1	3
35.3 	-8.45 	0.1	4
37.5 	-12.27 	0.1	5
39.7 	-17.73 	0.1	6
41.0 	-23.18 	0.1	7
43.2 	-32.18 	0.1	8
47.1 	-40.09 	0.1	9
50.1 	-42.00 	0.1	10
53.2 	-43.36 	0.1	11
55.8 	-45.00 	0.1	12
59.3 	-46.09 	0.1	13
61.9 	-47.45 	0.1	14
65.4 	-48.82 	0.1	15
75.0 	-50.45 	0.1	16
85.0 	-51.27 	0.1	17
95.1 	-51.82 	0.1	18
105.1 	-50.73 	0.1	19
114.7 	-49.64 	0.1	20
125.1 	-46.91 	0.1	21
135.2 	-44.18 	0.1	22
145.2 	-41.18 	0.1	23
150.0 	-39.00 	0.1	24
160.0 	-36.00 	0.1	25
175.3 	-31.64 	0.1	26
189.7 	-28.09 	0.1	27
204.9 	-24.82 	0.1	28
219.8 	-22.91 	0.1	29
234.6 	-20.73 	0.1	30
249.9 	-18.82 	0.1	31
265.1 	-17.73 	0.1	32
279.9 	-15.00 	0.1	33
294.3 	-13.36 	0.1	34
25.7 	-0.27 	0.2	1
30.1 	-0.82 	0.2	2
35.3 	-1.09 	0.2	3
40.6 	-2.45 	0.2	4
45.3 	-12.00 	0.2	5
47.1 	-15.82 	0.2	6
47.1 	-21.55 	0.2	7
48.0 	-29.73 	0.2	8
49.3 	-44.73 	0.2	9
50.6 	-66.00 	0.2	10
51.0 	-82.09 	0.2	11
52.3 	-88.36 	0.2	12
53.2 	-90.27 	0.2	13
54.5 	-91.36 	0.2	14
56.7 	-94.36 	0.2	15
58.4 	-96.27 	0.2	16
60.6 	-98.18 	0.2	17
62.8 	-99.82 	0.2	18
65.0 	-101.18 	0.2	19
70.2 	-104.46 	0.2	20
75.0 	-106.36 	0.2	21
79.8 	-107.18 	0.2	22
85.0 	-108.00 	0.2	23
90.3 	-108.82 	0.2	24
95.1 	-108.55 	0.2	25
100.3 	-108.27 	0.2	26
105.5 	-107.46 	0.2	27
110.3 	-106.36 	0.2	28
115.6 	-104.73 	0.2	29
120.3 	-103.64 	0.2	30
125.1 	-102.82 	0.2	31
130.4 	-101.18 	0.2	32
135.2 	-98.18 	0.2	33
140.0 	-96.27 	0.2	34
145.2 	-94.64 	0.2	35
150.4 	-91.09 	0.2	36
160.0 	-86.18 	0.2	37
170.1 	-80.73 	0.2	38
179.7 	-75.55 	0.2	39
189.7 	-71.45 	0.2	40
200.1 	-66.82 	0.2	41
209.7 	-62.73 	0.2	42
220.2 	-58.36 	0.2	43
230.2 	-54.82 	0.2	44
239.4 	-50.45 	0.2	45
249.9 	-46.09 	0.2	46
259.9 	-43.09 	0.2	47
269.9 	-40.09 	0.2	48
279.9 	-37.64 	0.2	49
290.0 	-35.18 	0.2	50
300.0 	-32.73 	0.2	51
