****			
FIGNO: TP152605			
XPROP: T			
XUNIT: K			
YPROP: TP			
YUNIT: uV/K			
PPROP: 			
PUNIT:			
SAMPLE: LaFe0.7Ru0.3AsO0.89F0.11			
****			

XDATA	YDATA	PDATA	NUMBER
10.5 	-0.24 	1	1
14.3 	-0.97 	1	2
18.1 	-2.67 	1	3
21.8 	-4.85 	1	4
27.7 	-7.28 	1	5
33.6 	-8.74 	1	6
38.7 	-9.71 	1	7
43.3 	-10.44 	1	8
47.9 	-10.68 	1	9
53.4 	-11.2 	1	10
57.1 	-11.4 	1	11
60.5 	-11.9 	1	12
64.3 	-12.4 	1	13
66.8 	-12.9 	1	14
70.6 	-13.3 	1	15
73.5 	-14.1 	1	16
77.3 	-14.3 	1	17
81.1 	-14.1 	1	18
84.5 	-14.3 	1	19
88.7 	-15.5 	1	20
93.3 	-15.8 	1	21
97.5 	-16.3 	1	22
101.7 	-17.0 	1	23
105.0 	-17.2 	1	24
109.2 	-18.0 	1	25
113.4 	-18.4 	1	26
116.8 	-18.7 	1	27
120.2 	-19.2 	1	28
124.0 	-19.7 	1	29
128.6 	-19.9 	1	30
134.5 	-20.1 	1	31
138.2 	-20.4 	1	32
140.8 	-21.1 	1	33
147.9 	-21.4 	1	34
151.3 	-21.4 	1	35
154.2 	-21.4 	1	36
158.0 	-21.6 	1	37
161.8 	-21.6 	1	38
164.7 	-21.8 	1	39
168.5 	-21.8 	1	40
173.1 	-22.1 	1	41
176.1 	-21.8 	1	42
180.3 	-21.8 	1	43
183.6 	-21.8 	1	44
187.4 	-22.1 	1	45
191.6 	-21.8 	1	46
194.5 	-21.8 	1	47
199.6 	-21.8 	1	48
202.9 	-21.8 	1	49
208.8 	-21.8 	1	50
211.3 	-21.4 	1	51
215.5 	-20.9 	1	52
218.5 	-21.4 	1	53
223.5 	-20.9 	1	54
227.7 	-20.9 	1	55
232.4 	-20.6 	1	56
237.0 	-20.4 	1	57
241.6 	-20.4 	1	58
244.5 	-19.7 	1	59
248.7 	-19.9 	1	60
254.2 	-19.7 	1	61
260.5 	-19.2 	1	62
266.0 	-18.9 	1	63
270.6 	-18.9 	1	64
274.8 	-18.9 	1	65
278.6 	-18.4 	1	66
282.4 	-18.4 	1	67
287.0 	-18.4 	1	68
289.9 	-18.2 	1	69
294.1 	-17.5 	1	70
299.2 	-17.5 	1	71
