---------			
FIGNO:TP19527			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:microV/K			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
60.6	0.18	1	1
63.3	0.63	1	2
64.1	1.44	1	3
64.1	2.51	1	4
64.1	3.77	1	5
65	5.57	1	6
66.8	7.19	1	7
65.9	8.8	1	8
66.8	10.15	1	9
66.8	11.41	1	10
67.7	12.66	1	11
69.4	14.28	1	12
70.3	15.18	1	13
71.2	16.26	1	14
72.1	17.43	1	15
73.9	18.41	1	16
74.7	19.22	1	17
74.7	19.85	1	18
77.4	20.84	1	19
80	21.65	1	20
80.9	22.1	1	21
82.7	22.72	1	22
85.3	23.44	1	23
88.9	24.61	1	24
91.5	25.6	1	25
94.2	26.32	1	26
95.9	26.86	1	27
96.8	27.31	1	28
98.6	28.02	1	29
103	28.65	1	30
103	28.83	1	31
106.5	29.28	1	32
108.3	29.73	1	33
111	30.09	1	34
112.7	30.54	1	35
114.5	30.9	1	36
116.3	31.17	1	37
118	31.44	1	38
121.6	31.8	1	39
125.1	31.98	1	40
126.9	32.07	1	41
128.6	32.34	1	42
130.4	32.6	1	43
133	32.78	1	44
133.9	33.05	1	45
135.7	33.23	1	46
137.5	33.41	1	47
142.8	33.59	1	48
144.5	33.68	1	49
146.3	33.77	1	50
150.7	33.95	1	51
158.7	33.95	1	52
161.3	34.13	1	53
164.8	34.13	1	54
170.1	34.22	1	55
175.4	34.22	1	56
180.7	34.04	1	57
185.2	33.86	1	58
192.2	33.32	1	59
196.6	32.78	1	60
201.1	32.51	1	61
207.2	32.16	1	62
210.8	31.8	1	63
218.7	31.17	1	64
222.3	30.54	1	65
226.7	29.91	1	66
232.9	29.01	1	67
237.3	28.74	1	68
241.7	28.29	1	69
246.1	27.93	1	70
251.4	27.49	1	71
256.7	27.04	1	72
261.1	26.77	1	73
266.4	26.5	1	74
271.7	26.14	1	75
277	25.87	1	76
281.4	25.6	1	77
285.9	25.42	1	78
292	25.24	1	79
297.3	24.88	1	80
