----------
FIGNO: TP2081
XPROP: T
XUNIT: K
YPROP: THPOW
YUNIT: UV/K
PPROP: FLUENCE
PUNIT: E+17

----------
xdata	ydata	pdata	number
78.902	.025	60	1
83.237	.05	30	1
87.879	.791	0	1
92.208	3.276	5	1
89.322	1.745	10	1
80.347	.898	60	2
87.879	1.569	0	2
86.85	.15	30	2
97.98	3.929	5	2
90.765	2.071	10	2
81.792	1.272	60	3
103.752	4.13	5	3
89.322	2.749	0	3
91.486	2.674	10	3
89.74	.399	30	3
86.127	1.596	60	4
90.043	3.879	0	4
94.075	.474	30	4
110.967	4.28	5	4
92.208	2.874	10	4
89.74	1.621	60	5
118.182	4.356	5	5
92.208	5.636	0	5
96.965	.524	30	5
96.537	3.05	10	5
93.353	1.571	60	6
93.651	6.038	0	6
102.746	.623	30	6
125.397	4.28	5	6
101.587	3.201	10	6
95.815	6.364	0	7
136.941	4.08	5	7
109.524	3.352	10	7
96.243	1.471	60	7
107.803	.648	30	7
98.701	6.489	0	8
102.746	1.446	60	8
115.029	.723	30	8
145.599	4.004	5	8
116.739	3.326	10	8
100.866	6.54	0	9
150.649	3.929	5	9
126.118	3.251	10	9
125.867	.673	30	9
109.249	1.421	60	9
105.195	6.489	0	10
115.029	1.471	60	10
130.202	.574	30	10
157.864	3.653	5	10
136.941	3.126	10	10
109.524	6.565	0	11
165.801	3.603	5	11
120.809	1.521	60	11
147.763	3.025	10	11
136.705	.623	30	11
116.017	6.54	0	12
176.623	3.402	5	12
160.029	2.774	10	12
142.486	.524	30	12
125.867	1.696	60	12
120.346	6.464	0	13
120.346	6.464	0	13
194.661	3.05	5	13
194.661	3.05	5	13
175.18	2.523	10	13
175.18	2.523	10	13
146.098	.449	30	13
146.098	.449	30	13
134.538	1.771	60	13
134.538	1.771	60	13
129.004	6.239	0	14
135.983	1.92	60	14
135.983	1.92	60	14
154.769	.324	30	14
129.004	6.239	0	14
203.319	2.874	5	14
203.319	2.874	5	14
186.724	2.322	10	14
186.724	2.322	10	14
154.769	.324	30	14
133.333	6.239	0	15
133.333	6.239	0	15
144.653	2.095	60	15
144.653	2.095	60	15
159.827	.324	30	15
214.863	2.799	5	15
214.863	2.799	5	15
198.99	2.071	10	15
198.99	2.071	10	15
159.827	.324	30	15
141.27	6.063	0	16
156.936	2.544	60	16
230.014	2.724	5	16
230.014	2.724	5	16
213.42	1.971	10	16
213.42	1.971	10	16
164.162	.299	30	16
164.162	.299	30	16
156.936	2.544	60	16
141.27	6.063	0	16
152.092	5.812	0	17
245.887	2.573	5	17
245.887	2.573	5	17
225.685	1.795	10	17
225.685	1.795	10	17
174.277	3.018	60	17
174.277	3.018	60	17
168.497	.274	30	17
168.497	.274	30	17
152.092	5.812	0	17
162.193	5.611	0	18
162.193	5.611	0	18
188.728	3.392	60	18
170.665	.15	30	18
258.874	2.473	5	18
258.874	2.473	5	18
240.115	1.619	10	18
240.115	1.619	10	18
188.728	3.392	60	18
170.665	.15	30	18
174.459	5.335	0	19
174.459	5.335	0	19
277.633	2.548	5	19
277.633	2.548	5	19
256.71	1.444	10	19
256.71	1.444	10	19
198.844	3.516	60	19
198.844	3.516	60	19
181.503	.025	30	19
181.503	.025	30	19
186.003	5.209	0	20
186.003	5.209	0	20
297.114	2.498	5	20
297.114	2.498	5	20
289.899	1.368	10	20
289.899	1.368	10	20
217.63	3.915	60	20
217.63	3.915	60	20
191.619	.2	30	20
191.619	.2	30	20
196.825	4.933	0	21
196.825	4.933	0	21
204.624	.274	30	21
232.081	4.04	60	21
204.624	.274	30	21
232.081	4.04	60	21
211.977	4.632	0	22
216.185	.474	30	22
216.185	.474	30	22
211.977	4.632	0	22
247.254	4.065	60	22
247.254	4.065	60	22
222.799	4.481	0	23
231.358	.574	30	23
256.647	4.09	60	23
238.672	4.305	0	24
265.318	4.165	60	24
245.809	.748	30	24
250.216	4.105	0	25
297.832	3.99	60	25
255.202	.848	30	25
260.317	4.004	0	26
263.15	.773	30	26
274.026	4.054	0	27
277.601	.798	30	27
287.013	3.979	0	28
292.775	.748	30	28
298.557	4.054	0	29
