----------
FIGNO: TP2155
XPROP: T
XUNIT: K
YPROP: THPOW
YUNIT: UV/K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
89.346	2.59	1	1
90.799	3.237	1	2
93.705	3.381	1	3
96.61	3.813	1	4
98.063	4.173	1	5
103.148	3.813	1	6
106.053	4.173	1	7
109.685	4.029	1	8
115.496	4.029	1	9
120.581	3.885	1	10
124.939	3.741	1	11
129.298	3.741	1	12
133.656	3.525	1	13
133.656	3.525	1	13
138.015	3.453	1	14
138.015	3.453	1	14
141.647	3.309	1	15
141.647	3.309	1	15
146.005	3.166	1	16
146.005	3.166	1	16
149.637	3.022	1	17
149.637	3.022	1	17
151.816	3.237	1	18
151.816	3.237	1	18
155.448	3.381	1	19
155.448	3.381	1	19
157.627	3.525	1	20
157.627	3.525	1	20
161.259	3.309	1	21
161.259	3.309	1	21
164.891	3.166	1	22
164.891	3.166	1	22
168.523	3.166	1	23
174.334	2.95	1	24
180.872	2.734	1	25
185.23	2.878	1	26
191.768	2.878	1	27
197.579	2.662	1	28
203.39	2.446	1	29
209.927	2.446	1	30
219.37	2.374	1	31
225.908	2.302	1	32
233.172	2.302	1	33
241.162	2.302	1	34
246.973	2.374	1	35
254.237	2.374	1	36
259.322	2.374	1	37
265.133	2.374	1	38
273.124	2.446	1	39
281.114	2.518	1	40
286.925	2.518	1	41
292.736	2.59	1	42
297.094	2.662	1	43
