----------
FIGNO: TP2989
XPROP: T
XUNIT: C
YPROP: S
YUNIT: UV/K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
53.274	-8.902	0	1
64.373	-8.902	0	2
75.472	-10.682	0	3
91.01	-10.682	0	4
99.889	-10.682	0	5
113.208	-12.463	0	6
124.306	-12.463	0	7
135.405	-14.243	0	8
144.284	-14.243	0	9
155.383	-12.463	0	10
170.921	-12.463	0	11
179.8	-16.024	0	12
190.899	-17.804	0	13
190.899	-17.804	0	13
201.998	-19.585	0	14
201.998	-19.585	0	14
213.097	-19.585	0	15
213.097	-19.585	0	15
224.195	-19.585	0	16
224.195	-19.585	0	16
235.294	-19.585	0	17
235.294	-19.585	0	17
248.613	-19.585	0	18
248.613	-19.585	0	18
259.711	-19.585	0	19
259.711	-19.585	0	19
273.03	-17.804	0	20
273.03	-17.804	0	20
288.568	-19.585	0	21
288.568	-19.585	0	21
301.887	-17.804	0	22
301.887	-17.804	0	22
312.986	-17.804	0	23
326.304	-16.024	0	24
332.963	-16.024	0	25
344.062	-17.804	0	26
355.161	-17.804	0	27
366.26	-17.804	0	28
375.139	-19.585	0	29
384.018	-19.585	0	30
401.776	-19.585	0	31
410.655	-17.804	0	32
423.973	-17.804	0	33
439.512	-19.585	0	34
450.61	-21.365	0	35
459.489	-19.585	0	36
472.808	-19.585	0	37
483.907	-21.365	0	38
497.225	-21.365	0	39
508.324	-21.365	0	40
514.983	-23.145	0	41
530.522	-21.365	0	42
546.06	-21.365	0	43
557.159	-21.365	0	44
568.258	-23.145	0	45
577.137	-23.145	0	46
588.235	-24.926	0	47
599.334	-23.145	0	48
610.433	-23.145	0	49
623.751	-23.145	0	50
634.85	-23.145	0	51
641.509	-23.145	0	52
654.828	-24.926	0	53
668.147	-24.926	0	54
681.465	-24.926	0	55
694.784	-24.926	0	56
705.882	-26.706	0	57
719.201	-26.706	0	58
732.519	-26.706	0	59
743.618	-26.706	0	60
752.497	-26.706	0	61
763.596	-26.706	0	62
779.134	-28.487	0	63
790.233	-28.487	0	64
803.552	-28.487	0	65
814.65	-28.487	0	66
823.529	-30.267	0	67
834.628	-28.487	0	68
845.727	-28.487	0	69
856.826	-28.487	0	70
870.144	-28.487	0	71
883.463	-30.267	0	72
894.562	-32.047	0	73
903.441	-30.267	0	74
