---------			
FIGNO:TP30901			
XPROP:T			
XUNIT:K			
YPROP:S			
YUNIT:uV/K			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
7.7	3.61	1	1
17	2.61	1	2
27.8	1.6	1	3
38.7	1.09	1	4
47.9	-0.17	1	5
58.8	-0.92	1	6
66.5	-1.18	1	7
75.8	-1.68	1	8
83.5	-2.18	1	9
92.8	-2.44	1	10
102.1	-2.94	1	11
116	-3.19	1	12
123.7	-3.95	1	13
133	-4.2	1	14
143.8	-4.45	1	15
151.5	-4.71	1	16
163.9	-5.21	1	17
176.3	-5.21	1	18
182.5	-5.46	1	19
191.8	-5.71	1	20
204.1	-6.22	1	21
218	-6.72	1	22
230.4	-6.97	1	23
238.1	-6.97	1	24
249	-7.23	1	25
259.8	-7.23	1	26
270.6	-7.73	1	27
