---------			
FIGNO:TP32076			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:uV/K			
"PPROP:1= along a-axis, 2=b-axis"			
PUNIT:			

---------			
xdata	ydata	pdata	number
70.5	0.56	1	1
72.8	0.56	1	2
75.1	0.56	1	3
76.6	0.56	1	4
76.6	0.7	1	5
77.4	0.93	1	6
78.1	1.12	1	7
77.4	1.5	1	8
78.1	1.68	1	9
78.9	1.92	1	10
78.9	2.29	1	11
78.9	2.57	1	12
78.9	2.76	1	13
78.9	2.94	1	14
79.6	3.32	1	15
80.4	3.46	1	16
79.6	3.74	1	17
80.4	4.02	1	18
80.4	4.16	1	19
81.9	4.39	1	20
81.9	4.58	1	21
81.9	4.86	1	22
82.7	5.05	1	23
82.7	5.23	1	24
85	5.42	1	25
87.2	5.61	1	26
87.2	5.79	1	27
89.5	5.93	1	28
90.3	6.07	1	29
91	6.26	1	30
91.8	6.4	1	31
93.3	6.5	1	32
94.8	6.64	1	33
96.4	6.78	1	34
97.9	6.87	1	35
100.2	7.01	1	36
101.7	7.2	1	37
104	7.34	1	38
106.2	7.48	1	39
107	7.57	1	40
109.3	7.71	1	41
110.8	7.8	1	42
113.8	7.9	1	43
115.3	7.94	1	44
116.9	8.04	1	45
119.1	8.08	1	46
120.7	8.22	1	47
122.9	8.32	1	48
125.2	8.36	1	49
126.7	8.41	1	50
129	8.46	1	51
131.3	8.5	1	52
132.8	8.55	1	53
135.1	8.55	1	54
136.6	8.64	1	55
138.9	8.69	1	56
141.2	8.74	1	57
143.5	8.74	1	58
146.5	8.79	1	59
148.8	8.83	1	60
151.8	8.79	1	61
154.9	8.79	1	62
157.1	8.79	1	63
160.2	8.79	1	64
164.7	8.79	1	65
168.5	8.88	1	66
172.3	8.88	1	67
173.9	8.88	1	68
176.9	8.88	1	69
182.2	8.83	1	70
187.5	8.79	1	71
191.3	8.79	1	72
194.4	8.79	1	73
197.4	8.74	1	74
201.2	8.83	1	75
204.3	8.83	1	76
207.3	8.79	1	77
211.1	8.79	1	78
214.1	8.83	1	79
216.4	8.83	1	80
219.5	8.88	1	81
222.5	8.83	1	82
227.8	8.79	1	83
231.6	8.79	1	84
235.4	8.79	1	85
239.2	8.83	1	86
243	8.83	1	87
246.8	8.79	1	88
249.1	8.79	1	89
251.4	8.79	1	90
252.9	8.79	1	91
254.4	8.79	1	92
255.9	8.74	1	93
259.7	8.74	1	94
262.8	8.69	1	95
265	8.69	1	96
266.6	8.69	1	97
270.4	8.69	1	98
271.9	8.69	1	99
274.2	8.74	1	100
277.2	8.74	1	101
279.5	8.74	1	102
282.5	8.74	1	103
285.6	8.64	1	104
287.8	8.69	1	105
290.1	8.69	1	106
291.6	8.64	1	107
293.9	8.6	1	108
66.9	0.07	2	1
70.7	0.1	2	2
73	0.07	2	3
75.3	0.05	2	4
77.6	0	2	5
79.1	-0.04	2	6
79.1	-0.18	2	7
79.1	-0.32	2	8
79.1	-0.44	2	9
80.7	-0.55	2	10
79.9	-0.69	2	11
79.9	-0.78	2	12
80.7	-0.88	2	13
80.7	-0.99	2	14
81.4	-1.18	2	15
82.2	-1.25	2	16
82.2	-1.36	2	17
82.2	-1.45	2	18
83.7	-1.57	2	19
85.3	-1.62	2	20
87.6	-1.71	2	21
89.1	-1.73	2	22
91.4	-1.78	2	23
93.7	-1.82	2	24
96	-1.85	2	25
98.3	-1.89	2	26
99.8	-1.92	2	27
102.1	-1.99	2	28
105.2	-2.01	2	29
106.7	-2.03	2	30
109.8	-2.1	2	31
112.9	-2.12	2	32
115.2	-2.12	2	33
118.3	-2.17	2	34
120.6	-2.17	2	35
122.9	-2.19	2	36
125.2	-2.22	2	37
126.7	-2.22	2	38
129.8	-2.17	2	39
130.5	-2.15	2	40
132.8	-2.17	2	41
135.9	-2.17	2	42
137.4	-2.19	2	43
140.5	-2.17	2	44
142.8	-2.15	2	45
145.9	-2.15	2	46
146.6	-2.12	2	47
148.9	-2.08	2	48
150.5	-2.06	2	49
152.8	-2.03	2	50
154.3	-2.01	2	51
157.4	-1.94	2	52
159.7	-1.92	2	53
161.2	-1.87	2	54
164.3	-1.87	2	55
167.3	-1.78	2	56
171.2	-1.71	2	57
172.7	-1.69	2	58
175	-1.66	2	59
178.8	-1.57	2	60
180.4	-1.52	2	61
182.7	-1.48	2	62
184.2	-1.43	2	63
187.3	-1.41	2	64
189.6	-1.38	2	65
191.9	-1.31	2	66
193.4	-1.27	2	67
196.5	-1.2	2	68
198	-1.18	2	69
198.8	-1.15	2	70
201.1	-1.11	2	71
202.6	-1.04	2	72
204.9	-0.94	2	73
208	-0.88	2	74
209.5	-0.85	2	75
210.3	-0.78	2	76
211.8	-0.76	2	77
215.6	-0.74	2	78
216.4	-0.69	2	79
217.2	-0.64	2	80
218.7	-0.57	2	81
220.2	-0.55	2	82
223.3	-0.53	2	83
225.6	-0.48	2	84
226.4	-0.44	2	85
230.2	-0.39	2	86
233.3	-0.34	2	87
234.8	-0.3	2	88
236.3	-0.23	2	89
237.1	-0.18	2	90
240.2	-0.13	2	91
241.7	-0.09	2	92
243.3	-0.04	2	93
244.8	-0.02	2	94
246.3	0	2	95
249.4	0.05	2	96
252.5	0.12	2	97
254.8	0.19	2	98
257.1	0.24	2	99
260.1	0.28	2	100
263.2	0.33	2	101
264.7	0.4	2	102
268.6	0.47	2	103
270.1	0.51	2	104
272.4	0.56	2	105
276.2	0.61	2	106
277.8	0.65	2	107
279.3	0.7	2	108
282.4	0.72	2	109
283.9	0.75	2	110
285.4	0.81	2	111
289.3	0.91	2	112
293.1	1	2	113
296.2	1.02	2	114
297.7	1.05	2	115
