---------			
FIGNO:TP33100			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:uV/K			
"PPROP:p=1 for ab-plane, p=2 for c-axis"			
PUNIT:			

---------			
xdata	ydata	pdata	number
19.7	19.83	1	1
20.2	0	1	2
24.9	0	1	3
30.1	-0.02	1	4
35.3	0	1	5
39.9	0	1	6
43.9	0.02	1	7
48	0	1	8
52.6	0.02	1	9
56.6	0	1	10
60.1	0	1	11
64.2	0	1	12
67.6	0	1	13
69.4	0	1	14
71.1	0.03	1	15
73.4	0.07	1	16
74.6	0.13	1	17
76.9	0.2	1	18
78.6	0.22	1	19
79.8	0.23	1	20
80.9	0.22	1	21
81.5	0.17	1	22
81.5	0.08	1	23
81.5	0	1	24
83.2	-0.12	1	25
82.7	-0.22	1	26
82.7	-0.37	1	27
83.2	-0.57	1	28
83.2	-0.67	1	29
82.7	-0.82	1	30
83.8	-0.97	1	31
84.4	-1.13	1	32
84.4	-1.25	1	33
83.8	-1.47	1	34
83.8	-1.62	1	35
84.4	-1.73	1	36
84.4	-1.95	1	37
84.4	-2.07	1	38
84.4	-2.07	1	39
84.4	-2.22	1	40
85	-2.32	1	41
86.1	-2.42	1	42
87.3	-2.47	1	43
89	-2.53	1	44
90.8	-2.57	1	45
93.6	-2.6	1	46
97.1	-2.6	1	47
100	-2.58	1	48
102.9	-2.53	1	49
105.2	-2.5	1	50
106.9	-2.43	1	51
111.6	-2.35	1	52
113.9	-2.32	1	53
116.2	-2.27	1	54
119.1	-2.23	1	55
121.4	-2.18	1	56
124.3	-2.13	1	57
126.6	-2.08	1	58
130.1	-2.05	1	59
132.9	-2	1	60
137	-1.97	1	61
139.3	-1.92	1	62
142.2	-1.88	1	63
145.1	-1.87	1	64
148	-1.82	1	65
151.4	-1.77	1	66
156.1	-1.73	1	67
160.7	-1.67	1	68
165.3	-1.62	1	69
171.1	-1.57	1	70
175.1	-1.53	1	71
182.1	-1.47	1	72
186.7	-1.43	1	73
191.3	-1.4	1	74
195.4	-1.37	1	75
199.4	-1.33	1	76
202.9	-1.3	1	77
207.5	-1.25	1	78
211.6	-1.22	1	79
214.5	-1.2	1	80
218.5	-1.18	1	81
223.1	-1.13	1	82
226.6	-1.12	1	83
230.1	-1.08	1	84
234.7	-1.05	1	85
238.2	-1.02	1	86
243.4	-0.97	1	87
246.2	-0.92	1	88
250.3	-0.88	1	89
252.6	-0.85	1	90
256.1	-0.82	1	91
259	-0.75	1	92
262.4	-0.73	1	93
266.5	-0.67	1	94
269.4	-0.63	1	95
272.3	-0.6	1	96
275.7	-0.57	1	97
279.2	-0.53	1	98
280.3	-0.52	1	99
283.2	-0.48	1	100
286.1	-0.43	1	101
289	-0.42	1	102
22.1	0	2	1
28.9	-0.038	2	2
34.5	-0.038	2	3
40.2	-0.038	2	4
45.8	-0.076	2	5
50.9	-0.076	2	6
54.9	-0.038	2	7
58.9	0	2	8
64.5	0	2	9
70.8	0.038	2	10
74.7	0.038	2	11
78.1	0.076	2	12
80.4	0.152	2	13
82.1	0.228	2	14
83.8	0.304	2	15
85.5	0.418	2	16
86.6	0.532	2	17
87.2	0.646	2	18
87.7	0.759	2	19
89.4	0.873	2	20
92.8	0.949	2	21
95.1	1.025	2	22
98.5	1.101	2	23
101.9	1.215	2	24
104.2	1.329	2	25
107.5	1.443	2	26
109.8	1.557	2	27
112.6	1.671	2	28
115.5	1.785	2	29
117.7	1.899	2	30
120	2.013	2	31
123.4	2.165	2	32
127.4	2.316	2	33
130.8	2.468	2	34
133.6	2.62	2	35
137	2.772	2	36
140.4	2.886	2	37
142.6	3	2	38
144.9	3.152	2	39
149.4	3.342	2	40
152.3	3.494	2	41
156.2	3.684	2	42
161.9	3.911	2	43
166.4	4.139	2	44
172.1	4.405	2	45
177.2	4.633	2	46
181.7	4.899	2	47
185.1	5.051	2	48
189.1	5.316	2	49
193	5.506	2	50
197	5.734	2	51
200.4	5.924	2	52
204.9	6.152	2	53
207.7	6.304	2	54
212.3	6.57	2	55
216.2	6.797	2	56
220.2	7.025	2	57
222.5	7.215	2	58
225.8	7.443	2	59
229.2	7.595	2	60
232.1	7.823	2	61
236.6	8.013	2	62
239.4	8.278	2	63
243.4	8.506	2	64
247.4	8.734	2	65
250.8	8.962	2	66
254.2	9.114	2	67
257	9.304	2	68
263.2	9.456	2	69
267.2	9.722	2	70
272.3	9.835	2	71
275.7	10.025	2	72
279.6	10.101	2	73
282.5	10.215	2	74
285.8	10.367	2	75
288.1	10.557	2	76
