---------			
FIGNO:TP34069			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:uV			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
7.9	0.39	1	1
11.3	0.2	1	2
14.6	0.2	1	3
16.6	0.2	1	4
19.2	0.59	1	5
19.9	1.76	1	6
20.5	2.73	1	7
21.2	3.71	1	8
21.9	5.08	1	9
23.2	7.03	1	10
23.8	8.01	1	11
25.2	9.18	1	12
26.5	9.96	1	13
29.1	11.52	1	14
33.1	12.3	1	15
35.8	13.09	1	16
39.1	13.67	1	17
41.7	13.67	1	18
44.4	13.87	1	19
47	14.26	1	20
49	14.26	1	21
51.7	14.65	1	22
54.3	15.04	1	23
57.6	15.04	1	24
60.3	14.84	1	25
62.9	14.84	1	26
66.2	15.04	1	27
69.5	15.23	1	28
73.5	15.43	1	29
76.8	15.62	1	30
80.8	15.82	1	31
84.8	15.82	1	32
89.4	15.82	1	33
92.1	16.02	1	34
94.7	16.02	1	35
98.7	16.02	1	36
102.6	15.62	1	37
106.6	15.82	1	38
108.6	16.21	1	39
112.6	16.02	1	40
115.2	15.82	1	41
117.9	15.82	1	42
121.2	16.02	1	43
125.2	15.62	1	44
128.5	15.82	1	45
133.1	15.43	1	46
135.8	15.43	1	47
139.7	15.23	1	48
143.7	15.23	1	49
148.3	15.04	1	50
153	14.84	1	51
157	14.65	1	52
160.3	14.45	1	53
164.2	14.26	1	54
167.5	14.26	1	55
170.2	14.26	1	56
173.5	14.06	1	57
176.2	13.87	1	58
179.5	13.87	1	59
182.8	13.67	1	60
184.8	13.67	1	61
187.4	13.67	1	62
190.1	13.48	1	63
192.7	13.48	1	64
196	13.28	1	65
199.3	13.09	1	66
202.6	12.89	1	67
206.6	12.7	1	68
210.6	12.5	1	69
213.9	12.5	1	70
219.2	12.11	1	71
221.9	12.11	1	72
226.5	11.91	1	73
230.5	11.72	1	74
234.4	11.91	1	75
238.4	11.52	1	76
241.7	11.52	1	77
243	11.52	1	78
246.4	11.13	1	79
251	11.13	1	80
253.6	11.13	1	81
257	10.94	1	82
259.6	10.74	1	83
263.6	10.55	1	84
266.9	10.55	1	85
269.5	10.35	1	86
272.8	10.35	1	87
274.8	10.16	1	88
277.5	9.96	1	89
281.5	9.77	1	90
284.1	9.77	1	91
287.4	9.77	1	92
289.4	9.57	1	93
293.4	9.38	1	94
296.7	9.18	1	95
298.7	9.18	1	96
