---------			
FIGNO:TP34393			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:uV/K			
PPROP:x in formula			
PUNIT:			

---------			
xdata	ydata	pdata	number
86.8	11.6	0.2	1
88.5	11.76	0.2	2
90.7	11.92	0.2	3
93	12.14	0.2	4
95.2	12.24	0.2	5
96.9	12.51	0.2	6
99.1	12.67	0.2	7
100.8	12.83	0.2	8
101.9	12.94	0.2	9
104.1	13.15	0.2	10
106.4	13.26	0.2	11
110.3	13.63	0.2	12
111.4	13.79	0.2	13
113.1	13.95	0.2	14
115.3	14.11	0.2	15
117	14.22	0.2	16
119.2	14.38	0.2	17
120.9	14.48	0.2	18
122.5	14.59	0.2	19
123.7	14.7	0.2	20
125.3	14.86	0.2	21
128.1	15.02	0.2	22
129.2	15.18	0.2	23
131.5	15.28	0.2	24
133.1	15.44	0.2	25
134.8	15.55	0.2	26
136.5	15.66	0.2	27
139.3	15.77	0.2	28
141	15.87	0.2	29
143.2	16.09	0.2	30
145.4	16.19	0.2	31
147.7	16.3	0.2	32
149.9	16.46	0.2	33
152.1	16.57	0.2	34
153.8	16.57	0.2	35
154.9	16.67	0.2	36
157.1	16.73	0.2	37
158.8	16.83	0.2	38
159.9	16.99	0.2	39
161.6	17.1	0.2	40
163.3	17.15	0.2	41
165.5	17.26	0.2	42
167.7	17.42	0.2	43
170	17.53	0.2	44
171.7	17.63	0.2	45
173.9	17.58	0.2	46
175.6	17.74	0.2	47
178.3	17.85	0.2	48
181.1	17.9	0.2	49
182.8	17.9	0.2	50
185.6	18.11	0.2	51
187.8	18.11	0.2	52
190.1	18.17	0.2	53
191.7	18.27	0.2	54
194	18.22	0.2	55
196.2	18.33	0.2	56
197.3	18.33	0.2	57
200.7	18.43	0.2	58
202.9	18.49	0.2	59
206.8	18.49	0.2	60
209	18.49	0.2	61
211.8	18.54	0.2	62
214.1	18.59	0.2	63
215.7	18.59	0.2	64
218.5	18.59	0.2	65
221.3	18.65	0.2	66
223.5	18.7	0.2	67
226.3	18.7	0.2	68
229.1	18.75	0.2	69
231.9	18.81	0.2	70
234.2	18.81	0.2	71
235.8	18.75	0.2	72
239.7	18.86	0.2	73
241.4	18.81	0.2	74
245.9	18.86	0.2	75
249.2	18.86	0.2	76
252	18.86	0.2	77
254.8	18.91	0.2	78
258.1	18.91	0.2	79
260.4	18.91	0.2	80
264.3	18.75	0.2	81
267.6	18.81	0.2	82
270.4	18.7	0.2	83
273.8	18.54	0.2	84
275.4	18.54	0.2	85
279.4	18.49	0.2	86
282.7	18.59	0.2	87
284.9	18.59	0.2	88
287.2	18.49	0.2	89
291.1	18.54	0.2	90
293.3	18.33	0.2	91
297.2	18.33	0.2	92
300.6	18.33	0.2	93
86.8	12.67	0.3	1
89.1	12.88	0.3	2
91.3	13.1	0.3	3
93	13.31	0.3	4
95.8	13.47	0.3	5
97.4	13.58	0.3	6
99.1	13.84	0.3	7
101.3	14.11	0.3	8
103.6	14.22	0.3	9
105.8	14.38	0.3	10
107.5	14.54	0.3	11
109.2	14.8	0.3	12
110.8	14.86	0.3	13
112.5	14.96	0.3	14
115.3	15.18	0.3	15
117.5	15.34	0.3	16
120.3	15.44	0.3	17
122	15.6	0.3	18
124.2	15.71	0.3	19
125.9	15.87	0.3	20
127.6	15.98	0.3	21
129.8	16.09	0.3	22
130.9	16.25	0.3	23
133.1	16.41	0.3	24
135.9	16.62	0.3	25
137.6	16.78	0.3	26
139.8	16.78	0.3	27
142.1	16.94	0.3	28
144.9	17.05	0.3	29
146.5	17.21	0.3	30
147.7	17.31	0.3	31
150.4	17.47	0.3	32
153.2	17.53	0.3	33
154.9	17.63	0.3	34
156.6	17.69	0.3	35
158.8	17.79	0.3	36
161.6	18.06	0.3	37
163.8	18.17	0.3	38
166.6	18.33	0.3	39
168.9	18.43	0.3	40
170.5	18.54	0.3	41
172.8	18.65	0.3	42
174.4	18.59	0.3	43
177.2	18.7	0.3	44
179.5	18.81	0.3	45
182.8	19.02	0.3	46
184.5	19.02	0.3	47
186.2	19.02	0.3	48
189	19.13	0.3	49
192.9	19.29	0.3	50
194.5	19.34	0.3	51
196.8	19.34	0.3	52
199	19.4	0.3	53
201.2	19.5	0.3	54
204	19.5	0.3	55
207.9	19.56	0.3	56
211.3	19.56	0.3	57
213.5	19.61	0.3	58
215.7	19.72	0.3	59
219.1	19.77	0.3	60
220.8	19.82	0.3	61
223.5	19.88	0.3	62
225.8	19.93	0.3	63
228	19.93	0.3	64
231.4	19.93	0.3	65
233	19.98	0.3	66
234.7	19.98	0.3	67
