----------
FIGNO: TP3554
XPROP: T
XUNIT: K
YPROP: S
YUNIT: UV/K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
93.443	4.687	1	1
95.713	5.131	1	2
98.739	5.172	1	3
103.279	5.131	1	4
105.549	4.97	1	5
110.845	4.848	1	6
126.734	4.081	1	7
139.596	3.758	1	8
146.406	3.434	1	9
161.538	3.03	1	10
176.671	2.626	1	11
188.777	2.343	1	12
200.883	1.98	1	13
200.883	1.98	1	13
216.015	1.576	1	14
216.015	1.576	1	14
231.148	1.172	1	15
231.148	1.172	1	15
244.01	.889	1	16
244.01	.889	1	16
256.116	.606	1	17
256.116	.606	1	17
270.492	.323	1	18
270.492	.323	1	18
284.111	-.242	1	19
284.111	-.242	1	19
298.487	-.444	1	20
298.487	-.444	1	20
