---------			
FIGNO:TP5660			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:uV/K			
PPROP:1=a//.2=b//			
PUNIT:			

---------			
xdata	ydata	pdata	number
34.9	0	1	1
39.6	0	1	2
44.3	0	1	3
48.1	-0.09	1	4
52.8	-0.18	1	5
56.6	-0.36	1	6
60.4	-0.54	1	7
64.2	-0.98	1	8
67	-1.34	1	9
68.9	-1.79	1	10
70.8	-2.41	1	11
74.5	-2.77	1	12
78.3	-3.39	1	13
80.2	-3.75	1	14
84	-3.93	1	15
87.7	-3.93	1	16
94.3	-4.11	1	17
99.1	-4.11	1	18
105.7	-4.29	1	19
109.4	-4.29	1	20
115.1	-4.38	1	21
119.8	-4.46	1	22
127.4	-4.55	1	23
133	-4.64	1	24
140.6	-4.73	1	25
145.3	-4.91	1	26
150.9	-4.91	1	27
157.5	-5	1	28
163.2	-5	1	29
170.8	-5.18	1	30
178.3	-5.18	1	31
184.9	-5.27	1	32
191.5	-5.36	1	33
195.3	-5.36	1	34
200	-5.45	1	35
202.8	-5.54	1	36
205.7	-5.62	1	37
211.3	-5.8	1	38
216	-5.89	1	39
218.9	-5.89	1	40
221.7	-5.98	1	41
225.5	-6.07	1	42
228.3	-6.07	1	43
231.1	-6.25	1	44
234.9	-6.25	1	45
239.6	-6.34	1	46
244.3	-6.52	1	47
249.1	-6.61	1	48
253.8	-6.7	1	49
256.6	-6.7	1	50
261.3	-6.88	1	51
265.1	-6.88	1	52
268.9	-6.88	1	53
272.6	-7.05	1	54
277.4	-7.23	1	55
280.2	-7.32	1	56
284.9	-7.41	1	57
288.7	-7.68	1	58
291.5	-7.86	1	59
43.4	-0.09	2	1
51.9	-0.09	2	2
55.7	-0.27	2	3
57.5	-0.45	2	4
61.3	-0.89	2	5
67	-1.07	2	6
69.8	-1.43	2	7
73.6	-1.88	2	8
78.3	-1.96	2	9
84	-1.96	2	10
90.6	-1.96	2	11
98.1	-2.05	2	12
102.8	-2.05	2	13
109.4	-2.14	2	14
115.1	-2.23	2	15
120.8	-2.32	2	16
127.4	-2.41	2	17
132.1	-2.5	2	18
137.7	-2.59	2	19
144.3	-2.77	2	20
149.1	-2.77	2	21
152.8	-2.95	2	22
157.5	-2.95	2	23
162.3	-3.04	2	24
167	-3.12	2	25
170.8	-3.12	2	26
173.6	-3.3	2	27
177.4	-3.3	2	28
185.8	-3.39	2	29
191.5	-3.39	2	30
196.2	-3.57	2	31
199.1	-3.66	2	32
202.8	-3.66	2	33
206.6	-3.66	2	34
213.2	-3.93	2	35
217	-3.93	2	36
222.6	-4.02	2	37
227.4	-4.29	2	38
231.1	-4.38	2	39
235.8	-4.38	2	40
240.6	-4.55	2	41
243.4	-4.64	2	42
248.1	-4.82	2	43
251.9	-4.91	2	44
255.7	-5	2	45
261.3	-5.09	2	46
267.9	-5.09	2	47
270.8	-5.18	2	48
273.6	-5.27	2	49
276.4	-5.36	2	50
280.2	-5.36	2	51
285.8	-5.62	2	52
