---------			
FIGNO:TP5661			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:uV/K			
"PPROP:1=a, 2=b"			
PUNIT:			

---------			
xdata	ydata	pdata	number
67.4	-0.09	1	1
72.2	0.18	1	2
75	0.54	1	3
76.9	1.35	1	4
77.8	2.7	1	5
79.7	3.6	1	6
81.6	4.32	1	7
83.5	4.59	1	8
85.4	4.95	1	9
88.3	5.41	1	10
92.1	5.77	1	11
95.9	6.04	1	12
99.7	6.22	1	13
104.4	6.4	1	14
109.2	6.49	1	15
113.9	6.67	1	16
118.7	6.76	1	17
123.4	6.85	1	18
128.2	6.85	1	19
132	6.76	1	20
136.7	6.76	1	21
141.5	6.76	1	22
146.2	6.85	1	23
150.9	6.76	1	24
156.6	6.58	1	25
161.4	6.49	1	26
166.1	6.4	1	27
169.9	6.4	1	28
172.8	6.4	1	29
179.4	6.31	1	30
184.2	6.22	1	31
188.9	6.13	1	32
193.7	6.04	1	33
195.6	6.13	1	34
200.3	5.86	1	35
204.1	5.77	1	36
209.8	5.77	1	37
217.4	5.68	1	38
222.2	5.59	1	39
227.8	5.5	1	40
234.5	5.41	1	41
238.3	5.41	1	42
241.1	5.32	1	43
244.9	5.23	1	44
248.7	5.14	1	45
253.5	5.05	1	46
256.3	4.95	1	47
261.1	4.86	1	48
264.9	4.77	1	49
268.7	4.77	1	50
271.5	4.77	1	51
276.3	4.59	1	52
281	4.59	1	53
285.8	4.5	1	54
70.3	0	2	1
75	0.45	2	2
75.9	1.35	2	3
77.8	2.61	2	4
79.7	3.87	2	5
80.7	4.59	2	6
82.6	5.77	2	7
82.6	7.3	2	8
86.4	8.47	2	9
87.3	9.28	2	10
90.2	9.82	2	11
93	10.45	2	12
94.9	11.35	2	13
98.7	11.62	2	14
100.6	11.98	2	15
105.4	12.34	2	16
108.2	12.43	2	17
113	12.61	2	18
116.8	12.79	2	19
123.4	12.88	2	20
125.3	12.97	2	21
131	12.97	2	22
135.8	12.97	2	23
141.5	12.79	2	24
144.3	12.79	2	25
148.1	12.61	2	26
152.8	12.52	2	27
155.7	12.43	2	28
160.4	12.25	2	29
165.2	12.07	2	30
169	11.98	2	31
174.7	11.8	2	32
179.4	11.62	2	33
183.2	11.53	2	34
188	11.35	2	35
190.8	11.17	2	36
194.6	10.99	2	37
200.3	10.9	2	38
204.1	10.72	2	39
207.9	10.45	2	40
213.6	10.27	2	41
219.3	10.09	2	42
226.9	9.91	2	43
229.7	9.73	2	44
235.4	9.55	2	45
240.2	9.46	2	46
245.9	9.28	2	47
249.7	9.1	2	48
252.5	9.01	2	49
258.2	8.83	2	50
263.9	8.65	2	51
267.7	8.38	2	52
270.6	8.29	2	53
274.4	8.2	2	54
278.2	7.93	2	55
282	8.02	2	56
284.8	7.84	2	57
