----------
FIGNO: TP5917
XPROP: T
XUNIT: K
YPROP: S
YUNIT: MICROV/K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
7.368	-.068	1	1
11.579	.205	1	2
16.842	.751	1	3
20	1.434	1	4
24.21	1.981	1	5
27.368	2.527	1	6
30.526	3.074	1	7
35.789	3.62	1	8
38.947	4.303	1	9
43.158	4.713	1	10
48.421	4.986	1	11
52.632	5.396	1	12
58.947	5.533	1	13
64.21	5.806	1	14
68.421	6.216	1	15
72.632	6.353	1	16
76.842	6.626	1	17
82.105	6.762	1	18
88.421	6.899	1	19
92.632	7.035	1	20
98.947	7.172	1	21
105.263	7.309	1	22
109.474	7.309	1	23
116.842	7.445	1	24
122.105	7.445	1	25
128.421	7.445	1	26
134.737	7.445	1	27
140	7.445	1	28
146.316	7.582	1	29
153.684	7.309	1	30
161.053	7.309	1	31
166.316	7.309	1	32
172.632	7.309	1	33
176.842	7.035	1	34
181.053	7.035	1	35
187.368	7.172	1	36
192.632	7.172	1	37
197.895	7.035	1	38
203.158	6.762	1	39
207.368	6.899	1	40
211.579	6.762	1	41
215.789	6.762	1	42
220	6.626	1	43
225.263	6.626	1	44
227.368	6.762	1	45
232.632	6.762	1	46
236.842	6.489	1	47
241.053	6.216	1	48
245.263	6.353	1	49
250.526	6.079	1	50
254.737	6.216	1	51
260	6.216	1	52
264.211	6.353	1	53
269.474	5.943	1	54
275.789	6.079	1	55
280	5.806	1	56
284.211	5.533	1	57
290.526	5.396	1	58
294.737	5.533	1	59
296.842	5.806	1	60
