---------			
FIGNO:TP8778			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:uV/K			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
67	0.18	1	1
68.5	0.48	1	2
68.5	0.84	1	3
67.8	1.55	1	4
68.5	1.91	1	5
69.3	2.69	1	6
69.3	3.23	1	7
67.8	4.12	1	8
69.3	5.26	1	9
69.3	6.04	1	10
70.1	6.87	1	11
70.8	7.65	1	12
70.8	8.37	1	13
71.6	9.08	1	14
71.6	9.62	1	15
73.9	10.82	1	16
73.9	11.35	1	17
73.1	11.77	1	18
74.6	12.31	1	19
75.4	12.97	1	20
76.1	13.75	1	21
78.4	14.7	1	22
79.9	15.24	1	23
79.9	15.78	1	24
83	16.2	1	25
83	16.79	1	26
85.3	17.27	1	27
87.6	17.81	1	28
90.6	18.23	1	29
92.9	18.47	1	30
95.9	18.88	1	31
97.5	19.06	1	32
99	19.3	1	33
101.3	19.48	1	34
104.3	19.66	1	35
108.1	19.84	1	36
111.2	20.02	1	37
115	20.26	1	38
117.3	20.38	1	39
119.5	20.56	1	40
121.8	20.62	1	41
125.6	20.74	1	42
128.7	20.92	1	43
131.7	20.92	1	44
136.3	20.98	1	45
139.3	20.98	1	46
143.1	20.98	1	47
145.4	20.98	1	48
148.5	20.92	1	49
152.3	20.92	1	50
153.8	20.74	1	51
159.1	20.62	1	52
161.4	20.56	1	53
163.7	20.5	1	54
167.5	20.38	1	55
169.8	20.26	1	56
175.1	20.08	1	57
178.9	19.96	1	58
181.2	19.9	1	59
184.3	19.72	1	60
188.1	19.6	1	61
190.4	19.48	1	62
191.9	19.36	1	63
194.2	19.3	1	64
195.7	19.12	1	65
199.5	19	1	66
201	18.94	1	67
204.1	18.88	1	68
206.3	18.71	1	69
208.6	18.59	1	70
210.2	18.47	1	71
213.2	18.35	1	72
215.5	18.29	1	73
218.5	18.11	1	74
220.8	17.99	1	75
221.6	17.93	1	76
224.6	17.75	1	77
226.9	17.69	1	78
228.4	17.57	1	79
229.9	17.51	1	80
230.7	17.39	1	81
232.2	17.33	1	82
233.8	17.21	1	83
236	17.15	1	84
237.6	17.03	1	85
239.8	16.97	1	86
242.1	16.91	1	87
243.7	16.79	1	88
245.2	16.67	1	89
246.7	16.61	1	90
248.2	16.55	1	91
250.5	16.43	1	92
252	16.37	1	93
254.3	16.31	1	94
255.8	16.25	1	95
257.4	16.14	1	96
258.9	16.02	1	97
260.4	16.02	1	98
263.5	15.84	1	99
265	15.66	1	100
266.5	15.6	1	101
268	15.54	1	102
269.5	15.48	1	103
270.3	15.42	1	104
271.8	15.36	1	105
273.4	15.24	1	106
274.9	15.24	1	107
276.4	15.18	1	108
277.2	15.06	1	109
278.7	15	1	110
279.4	14.94	1	111
281	14.82	1	112
282.5	14.76	1	113
284	14.7	1	114
285.5	14.7	1	115
287.1	14.58	1	116
288.6	14.52	1	117
290.1	14.46	1	118
292.4	14.28	1	119
