---------			
FIGNO:TP9836			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:uV/k			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
15.9	0	1	1
23.5	-0.57	1	2
28.9	-0.57	1	3
35.7	0	1	4
39.5	0	1	5
45.6	0	1	6
49.4	1.13	1	7
53.2	2.83	1	8
57.7	6.79	1	9
60.8	9.06	1	10
63.8	9.62	1	11
66.8	10.19	1	12
70.6	11.32	1	13
73.7	12.45	1	14
77.5	13.58	1	15
81.3	14.72	1	16
85.8	15.28	1	17
88.9	16.42	1	18
94.2	16.98	1	19
98.7	18.68	1	20
104.1	19.25	1	21
108.6	20.38	1	22
113.9	20.94	1	23
118.5	22.08	1	24
123	23.21	1	25
128.4	23.77	1	26
133.7	24.91	1	27
139	25.47	1	28
145.1	26.6	1	29
151.9	27.17	1	30
158.7	27.74	1	31
167.1	28.3	1	32
172.4	28.3	1	33
177.7	27.74	1	34
183.8	27.74	1	35
189.1	28.3	1	36
195.2	28.3	1	37
202	27.17	1	38
207.3	27.17	1	39
212.7	27.17	1	40
219.5	26.6	1	41
225.6	26.6	1	42
231.6	26.6	1	43
237.7	26.04	1	44
244.6	26.6	1	45
250.6	25.47	1	46
256.7	24.91	1	47
262.8	24.91	1	48
268.1	24.91	1	49
272.7	24.91	1	50
278	24.34	1	51
